pagename_antenne,province,antenne,pagename_province,iso3,zonesante,grid3id,date,edit_par,source_acronym,sourceid,Shape_Length,Shape_Area,xmin,ymin,xmax,ymax
COD_Haut-Uele_Isiro,Haut-Uele,Isiro,COD_Haut-Uele,COD,Aba,,2025,CIESIN,multiple data sources,Haut-Uele_001,22.386651581906779,6.398157112321333,26.929678148000050,1.535407358000043,30.578780300000062,5.209520600000076
COD_Haut-Uele_Watsa,Haut-Uele,Watsa,COD_Haut-Uele,COD,Makoro,,2025,CIESIN,multiple data sources,Haut-Uele_001,6.934299654939988,0.909856197156114,29.218436400000030,2.055439500000034,30.390089742000043,3.392710500000021
COD_Ituri_Aru,Ituri,Aru,COD_Ituri,COD,Adi,,2024,CIESIN GRID3,multiple data sources,Ituri_001,7.683997789229850,0.929491387511108,30.127428043000066,1.902784699000051,31.277242200000046,3.683436000000029
COD_Ituri_Bunia,Ituri,Bunia,COD_Ituri,COD,Bambu,,2024,CIESIN GRID3,multiple data sources,Ituri_001,0.009321209729856,0.000005210084235,30.365486700000076,1.258493200000032,30.367519900000048,1.262054299000056
COD_Ituri_Bunia,Ituri,Bunia,COD_Ituri,COD,Bambu,,2024,CIESIN GRID3,multiple data sources,Ituri_001,0.027934457663745,0.000013970769582,30.364915400000029,1.268457900000044,30.373666100000037,1.276007800000059
COD_Ituri_Bunia,Ituri,Bunia,COD_Ituri,COD,Bambu,,2024,CIESIN GRID3,multiple data sources,Ituri_001,0.012474656259350,0.000003290631333,30.361994500000037,1.281034300000044,30.365182000000061,1.285916000000043
COD_Ituri_Bunia,Ituri,Bunia,COD_Ituri,COD,Bambu,,2024,CIESIN GRID3,multiple data sources,Ituri_001,0.010904442071160,0.000006841639431,30.355723500000067,1.288896600000044,30.359290800000053,1.292460300000073
COD_Ituri_Bunia,Ituri,Bunia,COD_Ituri,COD,Bambu,,2024,CIESIN GRID3,multiple data sources,Ituri_001,0.012906877231307,0.000010679604200,30.360060600000054,1.291192000000024,30.364572100000032,1.294967500000041
COD_Ituri_Bunia,Ituri,Bunia,COD_Ituri,COD,Bambu,,2024,CIESIN GRID3,multiple data sources,Ituri_001,0.023772456906156,0.000018897934230,30.361254199000030,1.293380100000036,30.371140800000035,1.297689300000059
COD_Ituri_Bunia,Ituri,Bunia,COD_Ituri,COD,Bambu,,2024,CIESIN GRID3,multiple data sources,Ituri_001,0.007063473677298,0.000003480848443,30.371191800000076,1.296160799000063,30.372935200000029,1.298877200000049
COD_Ituri_Bunia,Ituri,Bunia,COD_Ituri,COD,Bambu,,2024,CIESIN GRID3,multiple data sources,Ituri_001,0.010532024791859,0.000004956882783,30.371328600000027,1.301100200000064,30.375689900000054,1.303130100000033
COD_Ituri_Bunia,Ituri,Bunia,COD_Ituri,COD,Bambu,,2024,CIESIN GRID3,multiple data sources,Ituri_001,0.006733856101111,0.000002557309708,30.375582600000030,1.304100800000072,30.378189700000064,1.305934900000068
COD_Ituri_Bunia,Ituri,Bunia,COD_Ituri,COD,Bambu,,2024,CIESIN GRID3,multiple data sources,Ituri_001,0.004435912515778,0.000001024781954,30.378334500000051,1.305433500000049,30.379992100000038,1.306717900000024
COD_Ituri_Bunia,Ituri,Bunia,COD_Ituri,COD,Bambu,,2024,CIESIN GRID3,multiple data sources,Ituri_001,0.002427295936386,0.000000378142128,30.381102600000077,1.306656300000043,30.382062800000028,1.307208700000047
COD_Ituri_Bunia,Ituri,Bunia,COD_Ituri,COD,Bambu,,2024,CIESIN GRID3,multiple data sources,Ituri_001,15.705113899931961,4.222816188584122,27.365754422000066,0.519618301000037,30.962444082000047,2.621354677000056
COD_Kasai-Central_Kananga,Kasaï-Central,Kananga,COD_Kasai-Central,COD,Bena Leka,,2024,CIESIN GRID3,multiple data sources,Kasaï-Central_001,13.202627283139041,3.084399808614535,21.577003639000054,-6.993522136999957,23.799501599000052,-4.201700417999973
COD_Kasai-Central_Luiza,Kasaï-Central,Luiza,COD_Kasai-Central,COD,Kalomba,,2024,CIESIN GRID3,multiple data sources,Kasaï-Central_001,7.824695001815740,1.594548316696226,21.406870749000063,-7.906969556999968,23.267859323000039,-6.524638869999933
COD_Kasai-Oriental_Mbuji-Mayi,Kasaï-Oriental,Mbuji-Mayi,COD_Kasai-Oriental,COD,Bibanga,,2024,CIESIN GRID3,multiple data sources,Kasaï-Oriental_001,6.111228084256039,0.798395473996313,22.944409491000044,-6.773609818999944,24.061846653000032,-5.667474116999927
COD_Kasai_Mweka,Kasaï,Mweka,COD_Kasai,COD,Bulape,,2024,CIESIN GRID3,multiple data sources,Kasaï_001,14.599940862909264,5.392967734399712,20.027960300000075,-6.160502144999953,22.536724800000059,-2.309695465999937
COD_Kasai_Tshikapa,Kasaï,Tshikapa,COD_Kasai,COD,Banga Lubaka,,2024,CIESIN GRID3,multiple data sources,Kasaï_001,9.717652558020657,2.564232959318087,19.676605721000044,-7.293385230999945,21.796091800000056,-5.181433657999946
COD_Kinshasa_Kinshasa-Centre,Kinshasa,Kinshasa-Centre,COD_Kinshasa,COD,Bumbu,,2024,CIESIN GRID3,multiple data sources,Kinshasa_001,0.531251808256043,0.006710137767522,15.282746100000054,-4.440732999999966,15.369563560000074,-4.321748240999966
COD_Kinshasa_Kinshasa-Est,Kinshasa,Kinshasa-Est,COD_Kinshasa,COD,Biyela,,2024,CIESIN GRID3,multiple data sources,Kinshasa_001,0.005006225478137,0.000001335060581,15.443755115000044,-4.348595683999974,15.445325559000025,-4.346870573999979
COD_Kinshasa_Kinshasa-Est,Kinshasa,Kinshasa-Est,COD_Kinshasa,COD,Biyela,,2024,CIESIN GRID3,multiple data sources,Kinshasa_001,0.004776173322182,0.000001205155857,15.445872836000035,-4.343812967999952,15.446848415000034,-4.341784476999976
COD_Kinshasa_Kinshasa-Est,Kinshasa,Kinshasa-Est,COD_Kinshasa,COD,Biyela,,2024,CIESIN GRID3,multiple data sources,Kinshasa_001,0.004244919790029,0.000001107029639,15.446743717000061,-4.340653042999975,15.448052421000057,-4.339153982999960
COD_Kinshasa_Kinshasa-Est,Kinshasa,Kinshasa-Est,COD_Kinshasa,COD,Biyela,,2024,CIESIN GRID3,multiple data sources,Kinshasa_001,0.015092742211615,0.000004394666571,15.499666417000071,-4.320810759999972,15.505329048000021,-4.316245389999949
COD_Kinshasa_Kinshasa-Est,Kinshasa,Kinshasa-Est,COD_Kinshasa,COD,Biyela,,2024,CIESIN GRID3,multiple data sources,Kinshasa_001,0.005333761377057,0.000001211407848,15.506390490000058,-4.315711503999978,15.508337307000033,-4.314051749999976
COD_Kinshasa_Kinshasa-Est,Kinshasa,Kinshasa-Est,COD_Kinshasa,COD,Biyela,,2024,CIESIN GRID3,multiple data sources,Kinshasa_001,0.007396532832972,0.000002938458877,15.511283085000059,-4.307532823999964,15.512521824000032,-4.304451539999945
