pagename_province,province,iso3,antenne,zonesante,grid3id,date,edit_par,source_acronym,sourceid,Shape_Length,Shape_Area,xmin,ymin,xmax,ymax
COD_Kinshasa,Kinshasa,COD,Kinshasa-Centre,Bumbu,,2024,CIESIN GRID3,multiple data sources,Kinshasa_001,0.005232584077892,0.000001136212215,15.523021928000048,-4.299823259999926,15.524260033000076,-4.297690034999960
COD_Kinshasa,Kinshasa,COD,Kinshasa-Centre,Bumbu,,2024,CIESIN GRID3,multiple data sources,Kinshasa_001,0.004367891300002,0.000000870511326,15.523551068000074,-4.297097779999945,15.524789572000032,-4.295438528999966
COD_Kinshasa,Kinshasa,COD,Kinshasa-Centre,Bumbu,,2024,CIESIN GRID3,multiple data sources,Kinshasa_001,0.005824602281534,0.000001632648488,15.518180872000073,-4.297811993999971,15.519243428000038,-4.295323844999928
COD_Kinshasa,Kinshasa,COD,Kinshasa-Centre,Bumbu,,2024,CIESIN GRID3,multiple data sources,Kinshasa_001,0.022718826438107,0.000012917822816,15.520541799000057,-4.299646791999976,15.522961702000032,-4.289397583999971
COD_Kinshasa,Kinshasa,COD,Kinshasa-Centre,Bumbu,,2024,CIESIN GRID3,multiple data sources,Kinshasa_001,0.029028400775074,0.000034180371554,15.522723432000078,-4.295913394999957,15.528146963000040,-4.283173564999970
COD_Kinshasa,Kinshasa,COD,Kinshasa-Centre,Bumbu,,2024,CIESIN GRID3,multiple data sources,Kinshasa_001,0.141453644316718,0.000411105021336,15.440964643000029,-4.270820710999942,15.475264572000071,-4.228597174999948
COD_Kinshasa,Kinshasa,COD,Kinshasa-Centre,Bumbu,,2024,CIESIN GRID3,multiple data sources,Kinshasa_001,0.108330313974169,0.000222913796770,15.498808384000029,-4.238851313999930,15.507190035000065,-4.197655038999926
COD_Kinshasa,Kinshasa,COD,Kinshasa-Centre,Bumbu,,2024,CIESIN GRID3,multiple data sources,Kinshasa_001,5.858218645876494,0.806420454491894,15.161556645000076,-5.050898033999943,16.538299529000028,-3.927611199999944
COD_Kongo-Central,Kongo-Central,COD,Boma,Boma,,2025,CIESIN GRID3,multiple data sources,Kongo-Central_001,14.763547504551264,4.433893775768380,12.200874964000036,-6.074536320999925,16.256582211000023,-4.278261927999949
COD_Kwango,Kwango,COD,Kahemba,Kahemba,,2025,CIESIN,multiple data sources,Kwango_001,21.168264143879984,7.344941052619766,16.113787090000073,-8.130430999999930,19.975226881000026,-4.218108420999954
COD_Kwilu,Kwilu,COD,Bandundu,Bagata,,2024,CIESIN GRID3,multiple data sources,Kwilu_001,16.617006166635480,6.451947883786470,16.479207698000039,-6.358800161999966,20.205134500000042,-3.223748249999971
COD_Lomami,Lomami,COD,Kabinda,Kabinda,,2024,CIESIN GRID3,multiple data sources,Lomami_001,20.115800879709841,4.427009112323501,23.009694163000063,-8.091397434999976,26.280756863000079,-4.865162267999949
COD_Lualaba,Lualaba,COD,Kisenge,Dilolo,,2025,CIESIN GRID3,multiple data sources,Lualaba_001,27.807503790393110,9.963592610636843,21.751580768000053,-11.742848940999977,27.146796701000028,-7.657786888999965
COD_Mai-Ndombe,Mai-Ndombe,COD,Inongo,Banzow Moke,,2025,CIESIN GRID3,multiple data sources,Mai-Ndombe_001,21.183224980631852,10.644193571115085,15.894722100000024,-4.384773199999927,21.004836469000054,-0.711862877999977
COD_Maniema,Maniema,COD,Kasongo,Kabambare,,2024,CIESIN GRID3,multiple data sources,Maniema_001,29.082692164395358,10.550297185898682,24.598164918000066,-5.151291715999946,28.803528067000059,0.055910511000036
COD_Mongala,Mongala,COD,Bumba,Bumba,,2024,CIESIN GRID3,multiple data sources,Mongala_001,19.008570377217424,4.726988713726077,19.208602618000043,0.725572309000029,23.578601383000034,3.334600388000069
COD_Nord-Kivu,Nord-Kivu,COD,Butembo,Alimbongo,,2025,CIESIN,multiple data sources,Nord-Kivu_001,16.254967371848156,4.633878965946975,27.228207411000028,-2.142043687999944,29.987207485000056,0.954199100000039
COD_Nord-Ubangi,Nord-Ubangi,COD,Gbadolite,Abuzi,,2025,CIESIN GRID3,multiple data sources,Nord-Ubangi_001,16.328969228952200,4.449052401730835,19.015954183000076,2.853285922000055,23.515638662000072,5.156251841000028
COD_Sankuru,Sankuru,COD,Lodja,Bena Dibele,,2024,CIESIN GRID3,multiple data sources,Sankuru_001,18.824319660812293,8.731899702234962,21.837573842000040,-5.858132854999951,25.115541768000071,-1.697484610999936
COD_Sud-Kivu,Sud-Kivu,COD,Bukavu,Bagira,,2025,CIESIN GRID3,multiple data sources,Sud-Kivu_001,15.714805007118906,4.926117280669970,26.815415732000076,-5.055271455999957,29.264756499000043,-1.582627493999951
COD_Sud-Ubangi,Sud-Ubangi,COD,Gemena,Bangabola,,2025,CIESIN GRID3,multiple data sources,Sud-Ubangi_001,13.657343445982413,4.231411394585606,18.076036600000066,1.918481570000040,20.906433299000071,4.774840884000071
COD_Tanganyika,Tanganyika,COD,Kabalo,Ankoro,,2025,GRID3,multiple data sources,Tanganyika_001,0.032312816128668,0.000076779926101,29.401497739000035,-5.721815791999973,29.411928837000062,-5.711857578999968
COD_Tanganyika,Tanganyika,COD,Kabalo,Ankoro,,2025,GRID3,multiple data sources,Tanganyika_001,0.016816435557757,0.000020285916582,29.387565045000031,-5.693363636999948,29.393962875000057,-5.689056642999958
COD_Tanganyika,Tanganyika,COD,Kabalo,Ankoro,,2025,GRID3,multiple data sources,Tanganyika_001,0.010781708698457,0.000008800660383,29.353041170000040,-5.548415949999935,29.356473747000052,-5.545084523999947
COD_Tanganyika,Tanganyika,COD,Kabalo,Ankoro,,2025,GRID3,multiple data sources,Tanganyika_001,22.918863008649613,9.906371907470955,25.957151778000025,-8.450702933999935,30.593656965000037,-4.957216508999977
COD_Tshopo,Tshopo,COD,Kisangani,Bafwagbogbo,,2024,CIESIN GRID3,multiple data sources,Tshopo_001,28.821742093477418,15.902278088323270,22.260713619000057,-2.104603197999950,28.182299546000024,2.364297437000062
COD_Tshuapa,Tshuapa,COD,Boende,Befale,,2025,CIESIN GRID3,multiple data sources,Tshuapa_001,25.914808804448224,10.979785275474429,19.460045979000029,-2.537364377999950,24.446274109000058,1.778895054000031
