pagename_zonesante,province,antenne,zonesante,pagename_province,pagename_antenne,iso3,grid3id,date,edit_par,source_acronym,sourceid,Shape_Length,Shape_Area,xmin,ymin,xmax,ymax
COD_Haut-Katanga_Lubumbashi_Kamalondo,Haut-Katanga,Lubumbashi,Kamalondo,COD_Haut-Katanga,COD_Haut-Katanga_Lubumbashi,COD,uocpzPZHiEo,2024,CIESIN GRID3,multiple data sources,Haut-Katanga_001,0.065199476331236,0.000113028666189,27.478397301000030,-11.695759130999932,27.491880806000040,-11.674863271999982
COD_Haut-Katanga_Lubumbashi_Kampemba,Haut-Katanga,Lubumbashi,Kampemba,COD_Haut-Katanga,COD_Haut-Katanga_Lubumbashi,COD,zMfBT8xVQeH,2024,CIESIN GRID3,multiple data sources,Haut-Katanga_001,0.335357113521997,0.003664653610202,27.485881032000066,-11.731319516999974,27.561185880000039,-11.651485368999943
COD_Haut-Katanga_Lubumbashi_Kasenga,Haut-Katanga,Lubumbashi,Kasenga,COD_Haut-Katanga,COD_Haut-Katanga_Lubumbashi,COD,Vue5tcMpaGh,2024,CIESIN GRID3,multiple data sources,Haut-Katanga_001,4.529033331008754,0.601949050084718,27.897795759000076,-11.165541886999961,28.695954590000042,-10.004026160999956
COD_Haut-Katanga_Lubumbashi_Kashobwe,Haut-Katanga,Lubumbashi,Kashobwe,COD_Haut-Katanga,COD_Haut-Katanga_Lubumbashi,COD,OcTqzK4K1RV,2024,CIESIN GRID3,multiple data sources,Haut-Katanga_001,4.289105238961492,0.371513003423988,27.848958266000068,-10.247646570999962,28.697029962000045,-9.360778161999974
COD_Haut-Katanga_Lubumbashi_Katuba,Haut-Katanga,Lubumbashi,Katuba,COD_Haut-Katanga,COD_Haut-Katanga_Lubumbashi,COD,nhdQUgOeBQU,2024,CIESIN GRID3,multiple data sources,Haut-Katanga_001,0.122957813936460,0.000577410056795,27.448758933000079,-11.730289814999935,27.483273232000045,-11.697380209999949
COD_Haut-Katanga_Lubumbashi_Kenya,Haut-Katanga,Lubumbashi,Kenya,COD_Haut-Katanga,COD_Haut-Katanga_Lubumbashi,COD,IOin37HS2Wz,2024,CIESIN GRID3,multiple data sources,Haut-Katanga_001,0.514192537382480,0.006536745281830,27.472179574000052,-11.824039417999927,27.573486736000064,-11.688113282999950
COD_Haut-Katanga_Lubumbashi_Kilwa,Haut-Katanga,Lubumbashi,Kilwa,COD_Haut-Katanga,COD_Haut-Katanga_Lubumbashi,COD,iHmCGdXARXG,2024,CIESIN GRID3,multiple data sources,Haut-Katanga_001,6.513078019545538,0.957013691359953,27.564559373000066,-9.772972201999949,28.767636086000039,-8.162042990999964
COD_Haut-Katanga_Lubumbashi_Kipushi,Haut-Katanga,Lubumbashi,Kipushi,COD_Haut-Katanga,COD_Haut-Katanga_Lubumbashi,COD,ZMH0kkBQFs9,2024,CIESIN GRID3,multiple data sources,Haut-Katanga_001,4.218295848758629,0.217217968011066,27.203557672000045,-12.272518160999937,27.763376091000055,-11.241272336999941
COD_Haut-Katanga_Lubumbashi_Kisanga,Haut-Katanga,Lubumbashi,Kisanga,COD_Haut-Katanga,COD_Haut-Katanga_Lubumbashi,COD,QA2FRWLQqWE,2024,CIESIN GRID3,multiple data sources,Haut-Katanga_001,0.650036124270098,0.013304152825035,27.341377196000053,-11.810416383999950,27.498826959000041,-11.683170661999952
COD_Haut-Katanga_Lubumbashi_Kowe,Haut-Katanga,Lubumbashi,Kowe,COD_Haut-Katanga,COD_Haut-Katanga_Lubumbashi,COD,sAsXOxkBdrE,2024,CIESIN GRID3,multiple data sources,Haut-Katanga_001,0.008694956392430,0.000003763719286,27.245837102000053,-11.755463799999973,27.248385211000027,-11.752344780999977
